company_name_fr,company_name_commercial,company_name_arabic,company_name_arabic_full,region
,CGI SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,API Sfax
KRICHEN ET LOUATI AUTO SERVICES,,,شركة  كريشان  واللواتي  لخدمات السيارات,
,,شر كة  ا لعلا ج  ا لنفسا ني  بصفا قس,شر كة  ا لعلا ج ا لنفسا ني بصفا قس,
bayapeska,.,.,بيةباسكا,
,CGI-SFAX-LEADER,CGI - SFAX- LEADER,مركز التصرف   المندمج   صفاقس الريادة,
STE SIFAST,STE SIFAST,شركة سيفاست,شركة سيفاست,
,ELECTRO BEN MILED,الكترو بن ميلاد,شركة وليد ولبنى بن ميلاد وشركاؤهم,
,,,مركز الحياة للعلاج الطبيعي وتقويم الاعضاء,
,,شركة الزيتونة,شركة الزيتونة,
EP2C Services,.,.,اي بي 2 سي سرفيس,
,C.E.R,C. E . R . Mمصحة  ا لكشف   با لر نين  ا لمغنا طيسي,مصحة  ا لكشف  با لرنين  ا لمغنا طيسي,
,SOCIETE URGENCE THYNA,SOCIETE  URGENCE  THYNA .   شركة   استعجالي   طينة,شركة    استعجا لي    طينة,
STE NOVA  INDUSTRIE PRODUITS D'ENTRETIEN  ET PRODUITS COSMETIQUES,,,نوفا لصناعة مواد التنظيف ومواد التجميل,
STE  BESTAREA CANADA,,,شركة باستاريا كندا,
STE BAKLOUTI FRERES DE BATIMENT & TRAVAUX PUBLIQUES,,شركة البقلوطي اخوان للبناء و الاشغال العامة,شركة البقلوطي اخوان للبناء و الاشغال العامة,
STE EL BADR DE TRAVAUX PUBLICS,,,شركة البدر للاشغال العامة,
STE  DE DEVELOPPEMENT AGRICOLE FRIKHA,,,شركة التطوير الفلاحي  الفريخة,
LA SOCIETE NOUVELLE   DE   TRAITEMENT DE SABLE,,,الشركة الجديدة لتصفية التراب,
STE L'OCEAN,,,شركة المحيط,
STE NEXT STEP,,NEXT STEP,شركة ناكست ستاب,
,CGI SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,
KRICHEN ET LOUATI AUTO SERVICES,,,شركة  كريشان  واللواتي  لخدمات السيارات,
,,شر كة  ا لعلا ج  ا لنفسا ني  بصفا قس,شر كة  ا لعلا ج ا لنفسا ني بصفا قس,
bayapeska,.,.,بيةباسكا,
,CGI-SFAX-LEADER,CGI - SFAX- LEADER,مركز التصرف   المندمج   صفاقس الريادة,
STE SIFAST,STE SIFAST,شركة سيفاست,شركة سيفاست,
,ELECTRO BEN MILED,الكترو بن ميلاد,شركة وليد ولبنى بن ميلاد وشركاؤهم,
,,,مركز الحياة للعلاج الطبيعي وتقويم الاعضاء,
,,شركة الزيتونة,شركة الزيتونة,
EP2C Services,.,.,اي بي 2 سي سرفيس,
,C.E.R,C. E . R . Mمصحة  ا لكشف   با لر نين  ا لمغنا طيسي,مصحة  ا لكشف  با لرنين  ا لمغنا طيسي,
,SOCIETE URGENCE THYNA,SOCIETE  URGENCE  THYNA .   شركة   استعجالي   طينة,شركة    استعجا لي    طينة,
STE NOVA  INDUSTRIE PRODUITS D'ENTRETIEN  ET PRODUITS COSMETIQUES,,,نوفا لصناعة مواد التنظيف ومواد التجميل,
STE  BESTAREA CANADA,,,شركة باستاريا كندا,
STE BAKLOUTI FRERES DE BATIMENT & TRAVAUX PUBLIQUES,,شركة البقلوطي اخوان للبناء و الاشغال العامة,شركة البقلوطي اخوان للبناء و الاشغال العامة,
STE EL BADR DE TRAVAUX PUBLICS,,,شركة البدر للاشغال العامة,
STE  DE DEVELOPPEMENT AGRICOLE FRIKHA,,,شركة التطوير الفلاحي  الفريخة,
LA SOCIETE NOUVELLE   DE   TRAITEMENT DE SABLE,,,الشركة الجديدة لتصفية التراب,
STE L'OCEAN,,,شركة المحيط,
STE NEXT STEP,,NEXT STEP,شركة ناكست ستاب,
NET  WEB   SERVICES,,,شركة نات واب,
STE DES INDUSTRIES ALIMENTAIRES ET MINOTERIE DU SUD,,SIAM SUD,شركة الصناعات الغذائية و المطاحن بالجنوب,
STE ENAKHLA,,,شركة النخلة,
STE L'OCEAN,,,شركة المحيط,
SOFAC,,سوفاك,سوفاك,
STE L'ART DU VERRE,,,شركة فن البلور,
GLOBAL ENGINEERING ENVIRONNEMENT SERVICES,,,قلوبل للخدمات الهندسية والبيئية,
EYED   CRAFT  ET DECORATION,,,شركة  ايد كرفت  وديكوريسين,
STE GENERALE DE CONSTRUCTIONS  METALLIQUE,SOGEC METALLIQUE,,الشركة العامة للانشاءات المعدنية,
STE BEN JMEAA VITRAGE AUTO,,BEN JMEAA VITRAGE AUTO,شركة بن جماعة لبلور السيارات,
,CGI SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,مركز التصرف المندمج صفاقس 1    CGI  SFAX 1,
KRICHEN ET LOUATI AUTO SERVICES,,,شركة  كريشان  واللواتي  لخدمات السيارات,
